anidbid, title_type, language, title
55	synonym	ru	Экс-Драйвер OVA
56	main	x-jat	Tennis no Ouji-sama
56	official	th	เดอะ ปริ้นซ์ ออฟ เทนนิส
56	official	pt-BR	The Prince of Tennis
56	official	en	The Prince of Tennis
56	official	fr	The Prince of Tennis
56	official	ja	テニスの王子様
56	short	en	PoT
56	short	en	PoT TV
56	short	x-jat	TnO
56	synonym	th	เจ้าชายลูกสักหลาด
56	synonym	pt-BR	O Príncipe do Tênis
56	synonym	ro	Prinţul Tenisului
56	synonym	tr	Tenisin Prensi
56	synonym	x-jat	Tennis no Oujisama
56	synonym	ar	أمير التنس
56	synonym	he	נסיך הטניס
56	synonym	ru	Принц тенниса
58	main	x-jat	Alien 9
58	official	ja	エイリアン9
58	official	en	Alien Nine
58	official	fr	Alien Nine
58	short	x-jat	A9
58	synonym	x-jat	Alien9
58	synonym	fr	Alien 9
58	synonym	ru	Чужой 9
59	main	x-jat	Vampire Hunter
59	official	ja	ヴァンパイアハンター
59	official	es	El cazavampiros
59	official	en	Night Warriors: Darkstalkers` Revenge
59	official	fr	Vampire Hunter - La vengeance des Darkstalkers
59	official	ru	Ночные воины: Охотники на вампиров
59	short	en	DarkStalkers
59	synonym	en	Vampire Hunter - The Animated Series
60	main	x-jat	Hand Maid May
60	official	ja	ハンドメイド・メイ
60	official	fr	Hand Maid May
60	short	x-jat	HMM
60	synonym	ja	Hand Maid メイ
60	synonym	bg	Прислужничката Мей
61	main	x-jat	Koukaku Kidoutai
61	official	ko	공각기동대
61	official	sl	Duh v školjki
61	official	fr	Ghost in the Shell
61	official	it	Ghost in the Shell
61	official	en	Ghost in the Shell
61	official	de	Ghost in the Shell
61	official	pl	Ghost in the Shell
61	official	fi	Ghost in the Shell - Aaveääni
61	official	pt	Ghost in the Shell - Cidade Assombrada
61	official	es-LA	Ghost in the Shell: Espectro Virtual
61	official	hu	Ghost in the Shell - Páncélba zárt szellem
61	official	sv	Ghost in the Shell : the movie
61	official	ja	GHOST IN THE SHELL 攻殻機動隊
61	official	pt-BR	O Fantasma do Futuro
61	official	he	הרוח במעטפת
61	short	x-jat	GitS
61	synonym	pl	Duch w pancerzu
61	synonym	lt	Dvasia Šarvuose
61	synonym	es-LA	Ghost in the Shell
61	synonym	x-jat	Ghost in the Shell: Koukaku Kidoutai
61	synonym	tr	Kabuktaki Hayalet
61	synonym	en	Mobile Armoured Riot Police
61	synonym	hu	Szellem a kagylóban
61	synonym	uk	Дух в оболонці
61	synonym	ru	Дух в стальной плоти
61	synonym	ru	Призрак в доспехах
61	synonym	bg	Призрак в черупка
62	main	x-jat	Saber Marionette J Again
